Name,PPG,APG,RBG,FG%,3PT%,FT%
Aaron Gordon,12.2,3.5,5.7,47.8,34.8,69.6
Aaron Holiday,8.4,2.2,1.5,39.6,39.3,78.1
Aaron Nesmith,6.2,0.7,3.4,43.5,36.9,76.9
Abdel Nader,7.2,0.9,2.8,48.4,39.0,77.3
Al Horford,13.4,3.6,6.3,43.1,35.1,79.0
Al-Farouq Aminu,3.4,1.1,3.6,40.4,32.0,76.5
Alec Burks,11.4,2.0,4.3,41.4,39.9,77.3
Aleksej Pokusevski,10.1,2.9,5.5,36.1,28.1,66.0
Alex Caruso,6.8,3.1,3.2,42.1,36.7,66.5
Alex Len,6.9,1.0,4.1,61.3,38.6,61.3
Alfonzo McKinnie,3.6,0.2,1.6,51.7,34.0,56.7
Amir Coffey,5.6,0.8,1.6,42.2,36.0,73.5
Andre Drummond,14.6,2.1,11.4,47.9,0.0,60.4
Andre Iguodala,4.0,2.0,3.2,39.5,34.7,66.7
Andrew Wiggins,18.5,2.6,5.0,45.3,33.0,72.8
Anfernee Simons,8.0,1.5,2.3,41.6,42.4,78.9
Anthony Davis,19.7,3.2,7.2,49.0,31.3,71.9
Anthony Edwards,23.5,3.7,5.6,43.4,34.0,76.5
Anthony Gill,3.6,0.5,2.4,50.3,29.7,79.3
Anthony Lamb,6.7,1.3,3.4,42.1,39.9,84.0
Aron Baynes,5.1,1.0,4.7,45.0,32.6,73.2
Austin Rivers,8.2,2.5,2.3,42.3,37.3,73.4
Avery Bradley,6.3,1.9,2.0,38.9,34.9,78.4
Bam Adebayo,19.6,5.8,8.8,56.7,25.5,78.9
Ben McLemore,8.3,0.8,2.0,38.5,38.1,72.1
Ben Simmons,14.5,6.3,7.0,54.7,23.7,65.0
Bismack Biyombo,4.9,1.2,4.9,58.6,0.0,51.7
Blake Griffin,9.8,3.0,4.7,42.2,32.0,74.1
Boban Marjanović,4.1,0.3,3.4,48.7,13.3,81.2
Bobby Portis,11.2,1.1,6.8,49.7,40.9,75.4
Bogdan Bogdanović,14.4,3.1,3.4,47.8,44.4,88.4
Bojan Bogdanović,14.6,1.6,3.5,42.6,36.0,84.6
Bol Bol,5.1,0.5,1.6,44.6,34.2,71.2
Brad Wanamaker,5.3,2.9,1.7,43.4,22.8,87.5
Bradley Beal,28.8,4.8,4.6,48.1,33.9,86.6
Brandon Clarke,10.6,2.0,5.7,50.1,30.0,68.0
Brandon Goodwin,7.6,3.4,2.1,38.9,32.3,69.6
Brandon Ingram,23.2,5.1,4.8,46.2,36.8,85.4
Brodric Thomas,6.3,1.5,2.5,39.7,29.7,79.8
Brook Lopez,8.9,0.7,4.2,50.4,33.8,80.8
Bruce Brown,8.7,1.6,5.1,53.8,33.3,72.4
Bruno Fernando,2.6,0.5,3.6,40.3,0.0,65.0
Bryn Forbes,9.2,0.5,1.5,46.7,42.1,78.6
Buddy Hield,14.6,3.4,4.5,41.0,39.7,82.3
CJ Elleby,4.6,0.6,2.1,41.6,22.2,70.3
CJ McCollum,21.1,4.6,3.7,43.9,35.3,80.0
Caleb Martin,5.2,1.4,2.8,38.7,25.8,68.5
Cam Reddish,11.3,1.4,4.0,38.8,31.1,79.0
Cameron Johnson,9.4,1.4,3.1,42.6,37.2,80.8
Cameron Payne,9.0,4.0,2.7,46.8,40.0,87.7
Caris LeVert,19.6,5.1,4.5,45.8,35.7,78.8
Carmelo Anthony,12.4,1.4,2.9,39.7,36.9,87.8
Carsen Edwards,7.0,0.9,1.2,43.1,27.9,82.0
Cassius Stanley,3.5,0.0,1.6,32.1,27.4,75.2
Cassius Winston,3.3,0.9,0.6,43.2,46.0,80.7
Cedi Osman,10.3,3.0,3.3,38.3,33.1,78.9
Chandler Hutchison,5.0,0.8,3.5,38.5,38.9,80.1
Chasson Randle,7.0,2.0,2.1,40.4,37.3,77.6
Chimezie Metu,7.7,1.0,3.7,49.1,30.8,74.6
Chris Boucher,12.0,1.0,5.9,49.2,34.4,79.2
Chris Chiozza,6.2,5.1,1.6,36.0,33.5,75.5
Chris Paul,14.6,9.2,4.8,48.1,39.7,88.4
Christian Wood,20.8,1.8,9.8,53.0,38.9,67.5
Chuma Okeke,8.1,2.6,3.9,40.8,30.5,75.5
Clint Capela,15.0,0.8,13.8,59.7,0.0,58.6
Coby White,16.1,5.2,4.1,42.7,36.5,87.0
Cody Martin,6.2,2.9,4.4,45.5,28.7,62.1
Cody Zeller,8.2,1.9,6.0,56.1,3.1,67.1
Cole Anthony,13.7,4.4,4.7,40.7,34.3,80.3
Collin Sexton,24.3,4.3,3.1,48.4,36.2,79.0
Cory Joseph,7.1,3.3,2.4,45.0,30.0,80.6
D'Angelo Russell,18.4,5.5,2.6,44.3,39.8,76.3
D.J. Augustin,6.1,2.6,1.3,39.0,38.0,87.0
D.J. Wilson,6.1,0.8,3.6,39.8,27.2,72.2
DaQuan Jeffries,5.0,0.9,2.7,45.0,36.8,85.8
Damian Jones,7.3,1.2,4.4,66.8,26.0,72.4
Damian Lillard,28.0,8.0,4.4,43.4,36.9,89.9
Damion Lee,6.8,1.4,3.3,47.2,40.3,88.4
Damyean Dotson,7.2,2.2,2.2,41.8,31.5,70.6
Daniel Gafford,7.3,0.6,4.2,66.8,0.0,67.9
Daniel Oturu,4.2,0.7,3.2,45.5,24.2,75.8
Daniel Theis,8.4,1.8,4.9,54.3,26.7,68.6
Danilo Gallinari,9.6,1.4,3.4,43.5,40.6,88.5
Danny Green,7.3,1.5,3.3,41.1,40.0,76.4
Danuel House,9.5,2.1,4.0,41.2,31.5,70.1
Dario Šarić,8.0,1.3,3.7,46.5,38.1,82.4
Darius Bazley,15.9,2.4,7.8,40.8,26.2,73.9
Darius Garland,20.1,7.0,2.4,44.8,39.3,82.9
David Nwaba,9.6,1.1,4.0,48.5,27.3,71.4
De'Aaron Fox,24.6,7.5,3.4,46.1,28.2,74.4
De'Andre Hunter,15.1,2.0,4.6,48.0,31.5,83.6
De'Anthony Melton,10.4,2.9,3.6,44.7,40.2,77.9
DeAndre Jordan,6.2,1.5,5.9,78.6,0.0,67.4
DeAndre' Bembry,6.1,2.4,3.2,50.9,26.0,68.1
DeMar DeRozan,19.5,6.8,4.0,55.8,31.2,86.4
DeMarcus Cousins,8.2,1.8,6.2,42.1,33.6,72.3
Dean Wade,6.7,1.5,3.5,44.3,37.7,76.7
Deandre Ayton,14.4,1.5,9.8,64.3,25.8,76.0
Dejounte Murray,15.5,5.4,6.7,46.5,32.6,78.9
Delon Wright,9.5,4.3,4.3,44.3,33.4,80.6
Deni Avdija,7.5,1.7,5.4,42.9,28.4,67.8
Dennis Schröder,14.8,5.6,3.5,43.3,32.5,82.6
Dennis Smith Jr.,6.8,3.4,2.5,38.6,28.7,75.6
Denzel Valentine,7.0,1.9,3.4,37.0,32.2,91.7
Derrick Favors,4.9,0.7,5.4,66.1,0.0,73.3
Derrick Jones Jr.,8.3,1.0,4.1,46.7,27.7,67.0
Derrick Rose,12.1,3.4,2.4,47.1,38.8,82.9
Derrick White,14.8,3.5,2.9,42.7,37.8,82.7
Desmond Bane,10.5,2.0,3.6,47.8,42.1,79.1
Devin Booker,25.4,4.7,4.2,49.1,36.3,82.7
Devin Vassell,8.2,1.4,3.8,41.7,35.3,81.4
Devonte' Graham,14.2,5.3,2.6,37.3,35.5,81.5
Dillon Brooks,16.5,2.2,2.8,42.9,37.2,80.4
Domantas Sabonis,20.0,6.7,11.3,51.8,37.1,72.1
Donovan Mitchell,26.2,5.6,4.4,44.4,41.2,80.6
Donte DiVincenzo,10.7,3.8,5.9,43.2,39.0,71.6
Dorian Finney-Smith,8.4,1.6,4.9,46.6,36.7,77.2
Doug McDermott,12.2,1.2,3.1,51.0,34.1,80.4
Draymond Green,6.5,8.5,6.9,46.5,28.8,77.9
Drew Eubanks,7.1,1.0,5.3,57.2,50.0,73.4
Duncan Robinson,12.6,1.8,3.3,42.5,37.1,81.2
Dwayne Bacon,10.8,1.3,3.0,41.2,30.8,81.3
Dwight Howard,4.6,0.6,6.1,52.9,30.8,54.1
Dwight Powell,5.4,1.2,3.9,63.0,28.8,77.4
Dylan Windler,5.8,1.3,3.6,45.0,34.8,77.6
Dāvis Bertāns,10.7,0.9,2.9,40.8,40.1,84.6
E'Twaun Moore,4.8,1.5,1.7,44.2,29.0,82.4
Ed Davis,3.0,1.2,6.6,45.3,0.0,81.3
Edmond Sumner,7.7,1.0,1.9,49.9,34.5,83.5
Elfrid Payton,9.3,3.2,3.3,44.5,31.2,72.2
Enes Kanter,9.9,1.1,9.8,60.8,25.5,75.5
