Name,PPG,APG,RBG,FG%,3PT%,FT%
DeMar DeRozan,25.8,4.5,4.9,48.5,32.8,85.5
DeMarcus Cousins,7.5,1.3,5.1,46.2,29.2,76.0
Dean Wade,5.6,1.1,3.1,46.7,36.6,68.9
Deandre Ayton,16.8,1.6,9.7,61.4,32.3,77.1
Dejounte Murray,19.8,9.2,8.4,47.4,35.2,78.1
Delon Wright,5.0,3.0,3.2,43.7,34.2,81.1
Deni Avdija,10.1,2.7,5.7,43.9,30.5,78.9
Dennis Schröder,12.0,4.3,3.2,43.3,34.3,82.8
Dennis Smith Jr.,6.6,4.5,2.7,46.9,22.7,80.2
Denzel Valentine,3.4,0.6,2.1,37.9,40.4,0.0
Derrick Favors,5.0,0.6,4.3,51.3,2.9,60.3
Derrick Jones Jr.,6.6,0.8,3.7,52.9,29.9,80.8
Derrick Rose,9.1,3.1,2.5,44.0,39.5,93.3
Derrick White,12.6,4.6,3.4,41.8,30.6,83.7
Desmond Bane,19.0,2.9,4.3,45.1,41.2,89.0
Devin Booker,25.2,4.8,5.1,46.0,35.9,84.1
Devin Vassell,13.1,2.2,4.5,42.5,35.9,81.1
Devonte' Graham,10.8,4.1,2.2,37.6,36.4,81.6
Dewayne Dedmon,5.1,0.6,4.6,54.5,37.7,73.2
Dillon Brooks,17.6,2.7,3.1,44.7,33.0,82.2
Domantas Sabonis,18.7,5.7,12.2,53.9,27.2,75.2
Donovan Mitchell,24.4,5.3,4.3,44.2,33.3,82.7
Donte DiVincenzo,8.8,2.9,3.9,36.0,36.5,82.9
Dorian Finney-Smith,9.8,1.9,4.7,47.1,40.0,69.8
Doug McDermott,9.6,1.2,2.1,45.3,40.2,76.0
Draymond Green,6.9,6.8,6.3,50.6,28.3,64.3
Drew Eubanks,7.5,1.3,5.2,60.8,24.7,74.1
Duane Washington Jr.,10.5,2.1,1.8,41.1,36.3,78.6
Duncan Robinson,10.2,1.4,2.5,39.6,36.4,81.0
Dwight Howard,5.0,0.4,4.6,55.8,35.5,70.4
Dwight Powell,7.5,1.0,4.1,67.1,34.9,74.4
Dylan Windler,3.4,1.2,2.6,38.8,32.3,81.9
Dāvis Bertāns,6.3,0.7,2.3,39.3,37.7,88.4
Ed Davis,1.2,0.2,2.2,69.6,0.0,56.8
Elfrid Payton,4.2,2.8,2.4,28.1,15.3,0.0
Elijah Hughes,5.9,1.0,2.5,35.7,32.1,74.5
Enes Freedom,4.2,0.2,5.1,50.7,36.1,81.1
Eric Bledsoe,8.1,3.4,3.1,41.5,34.2,75.0
Eric Gordon,10.2,2.1,1.7,47.3,40.7,76.9
Eric Paschall,6.1,0.7,1.9,45.6,32.2,77.8
Evan Fournier,12.5,2.0,2.5,40.2,37.1,71.0
Evan Mobley,17.6,3.2,8.9,55.7,30.3,70.7
Facundo Campazzo,4.8,3.6,1.7,36.4,30.0,76.8
Frank Jackson,11.0,1.0,1.6,44.0,37.6,79.2
Frank Ntilikina,6.9,1.9,2.1,43.7,41.7,91.9
Franz Wagner,16.2,3.0,4.6,48.2,36.6,83.7
Fred VanVleet,19.5,6.4,4.5,40.0,36.9,84.7
Furkan Korkmaz,7.6,1.9,2.5,39.5,32.9,78.8
Gabe Vincent,8.5,3.2,1.9,42.8,39.6,80.1
