Name,PPG,APG,RBG,FG%,3PT%,FT%
Tristan Thompson,5.2,0.5,4.3,54.2,32.1,58.0
Troy Brown Jr.,5.8,1.5,3.9,41.4,31.6,78.4
Ty Jerome,8.4,2.9,1.8,38.5,33.0,78.7
Tyler Herro,20.9,3.9,4.9,45.3,39.0,84.1
Tyrese Haliburton,17.7,9.1,4.3,47.1,41.2,81.5
Tyrese Maxey,20.2,4.8,3.4,48.3,42.5,83.8
Tyus Jones,8.5,4.5,2.4,44.5,36.6,79.3
Usman Garuba,4.0,1.6,6.4,43.5,31.3,69.9
Vit Krejci,8.0,2.7,4.1,40.5,32.5,83.6
Wayne Ellington,5.5,0.6,1.5,40.5,33.2,76.9
Wendell Carter Jr.,15.6,3.0,9.8,53.8,37.1,68.3
Wenyen Gabriel,6.4,0.6,4.2,47.6,23.7,61.6
Wesley Matthews,4.4,0.6,1.8,39.7,32.7,74.2
Will Barton,13.0,3.5,4.4,42.3,32.6,77.3
Willy Hernangómez,7.8,1.3,6.2,50.9,30.6,78.8
Xavier Tillman Sr.,5.5,1.5,3.4,48.8,24.0,68.2
Yuta Watanabe,6.0,0.8,3.2,42.8,32.1,67.2
Zach Collins,7.6,2.4,5.3,48.2,31.0,80.8
Zach LaVine,23.7,4.8,4.6,45.7,35.4,83.7
Zeke Nnaji,8.5,0.6,4.4,51.3,12.3,69.1
Ziaire Williams,10.2,1.3,2.4,44.6,28.9,77.8
Zion Williamson,29.8,3.6,7.1,60.4,25.7,69.5
